totim,time_step,stress_period,name,ZONE_1
851.0,0,28,FROM_STORAGE,151423.62
851.0,0,28,FROM_CONSTANT_HEAD,30515.664
851.0,0,28,FROM_DRAINS,0.0
851.0,0,28,FROM_RECHARGE,293418.75
851.0,0,28,FROM_ZONE_0,0.0
851.0,0,28,FROM_ZONE_1,0.0
851.0,0,28,TOTAL_IN,475358.03
851.0,0,28,TO_STORAGE,922.5311
851.0,0,28,TO_CONSTANT_HEAD,0.0
851.0,0,28,TO_DRAINS,106042.875
851.0,0,28,TO_RECHARGE,0.0
851.0,0,28,TO_ZONE_0,0.0
851.0,0,28,TO_ZONE_1,0.0
851.0,0,28,TOTAL_OUT,106965.41
851.0,0,28,IN-OUT,368392.62
851.0,0,28,PERCENT_DISCREPANCY,126.52509
882.0,0,29,FROM_STORAGE,148888.86
882.0,0,29,FROM_CONSTANT_HEAD,30515.543
882.0,0,29,FROM_DRAINS,0.0
882.0,0,29,FROM_RECHARGE,293418.75
882.0,0,29,FROM_ZONE_0,0.0
882.0,0,29,FROM_ZONE_1,0.0
882.0,0,29,TOTAL_IN,472823.16
882.0,0,29,TO_STORAGE,689.1164
882.0,0,29,TO_CONSTANT_HEAD,0.0
882.0,0,29,TO_DRAINS,103743.93
882.0,0,29,TO_RECHARGE,0.0
882.0,0,29,TO_ZONE_0,0.0
882.0,0,29,TO_ZONE_1,0.0
882.0,0,29,TOTAL_OUT,104433.05
882.0,0,29,IN-OUT,368390.12
882.0,0,29,PERCENT_DISCREPANCY,127.63488
912.0,0,30,FROM_STORAGE,146634.78
912.0,0,30,FROM_CONSTANT_HEAD,30516.363
912.0,0,30,FROM_DRAINS,0.0
912.0,0,30,FROM_RECHARGE,293418.75
912.0,0,30,FROM_ZONE_0,0.0
912.0,0,30,FROM_ZONE_1,0.0
912.0,0,30,TOTAL_IN,470569.88
912.0,0,30,TO_STORAGE,550.2117
912.0,0,30,TO_CONSTANT_HEAD,0.0
912.0,0,30,TO_DRAINS,101631.91
912.0,0,30,TO_RECHARGE,0.0
912.0,0,30,TO_ZONE_0,0.0
912.0,0,30,TO_ZONE_1,0.0
912.0,0,30,TOTAL_OUT,102182.12
912.0,0,30,IN-OUT,368387.75
912.0,0,30,PERCENT_DISCREPANCY,128.63779
